"id","companyName","code","fieldId","fieldName","fieldCode","dksId","dksName","dksCode","spchId","spchName","spchCode"
"1","Газпром добыча Ноябрьск","GDN","1","Вынгаяхинское","VNG","1","ДКС","DKS1","1","СПЧ 21-2.2","SPCH21-2.2"
"1","Газпром добыча Ноябрьск","GDN","1","Вынгаяхинское","VNG","1","ДКС","DKS1","2","СПЧ 41-2.2","SPCH41-2.2"
"1","Газпром добыча Ноябрьск","GDN","1","Вынгаяхинское","VNG","1","ДКС","DKS1","3","СПЧ 76-2.2","SPCH76-2.2"
"1","Газпром добыча Ноябрьск","GDN","2","Еты-Пуровское","ETP","2","ДКС","DKS1","4","СПЧ 21-2.2","SPCH21-2.2"
"1","Газпром добыча Ноябрьск","GDN","3","Западно-Таркосалинское","ZTS","3","ДКС","DKS1","5","СПЧ 21-3.0","SPCH21-3.0"
"1","Газпром добыча Ноябрьск","GDN","3","Западно-Таркосалинское","ZTS","3","ДКС","DKS1","6","СПЧ 41-2.2","SPCH41-2.2"
"1","Газпром добыча Ноябрьск","GDN","3","Западно-Таркосалинское","ZTS","3","ДКС","DKS1","7","СПЧ 76-2.2","SPCH76-2.2"
"1","Газпром добыча Ноябрьск","GDN","4","Комсомольское","KMS","4","ДКС","DKS1","8","СПЧ 21-3.0","SPCH21-3.0"
"1","Газпром добыча Ноябрьск","GDN","4","Комсомольское","KMS","4","ДКС","DKS1","9","СПЧ 21-3.0 УЛХ 3.1","SPCH21-3.0-ULH3.1"
"1","Газпром добыча Ноябрьск","GDN","4","Комсомольское","KMS","4","ДКС","DKS1","10","СПЧ 45-3.0","SPCH45-3.0"
"1","Газпром добыча Ноябрьск","GDN","4","Комсомольское","KMS","4","ДКС","DKS1","11","СПЧ 76-2.2","SPCH76-2.2"
"1","Газпром добыча Ноябрьск","GDN","4","Комсомольское","KMS","4","ДКС","DKS1","12","СПЧ 76-1.7","SPCH76-1.7"
"1","Газпром добыча Ноябрьск","GDN","5","Губкинское","GBK","5","ДКС","DKS1","13","СПЧ-294ГЦ2-825/9.5-21","SPCH294GC2-825-9.5-21"
"1","Газпром добыча Ноябрьск","GDN","5","Губкинское","GBK","5","ДКС","DKS1","14","СПЧ 16-41/2.2","SPCH16-41-2.2"
"1","Газпром добыча Ноябрьск","GDN","5","Губкинское","GBK","5","ДКС","DKS1","15","СПЧ-295ГЦ2-440/18.5-41","SPCH295GC2-440-18.5-41"
"1","Газпром добыча Ноябрьск","GDN","5","Губкинское","GBK","5","ДКС","DKS1","16","СПЧ-295ГЦ2-195/25-76","SPCH295GC2-195-25-76"
"1","Газпром добыча Ноябрьск","GDN","5","Губкинское","GBK","5","ДКС","DKS1","17","СПЧ-Ц-16С/76-3.0","SPCH-C-16S-76-3.0"
"2","Газпром добыча Надым","GDM","6","Бованенковское","BOV","6","ДКС1 ГП1","DKS1-GP1","18","НЦ-25 ДКС","NC25"
